user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords
521651938,1588337675408330752,2022-11-04T01:09:46Z,VLADIMIR_CERRON,@martinhidalgo Creo pueden llegar hasta 86 y ahí mueren. Hasta el 2026.,Twitter for Android,56,1588336291963604993,32224965,martinhidalgo,FALSE,FALSE,79,5,,,,,,,,,,,,,,32224965,martinhidalgo,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1588333543364743168,2022-11-04T00:53:21Z,VLADIMIR_CERRON,"Después que la DINI negó pagos a Cerrón y Rojas, ¿Cómo quedan los payasos de Augusto Thorndike, Carlos Paredes, Milagros Leiva, Gustavo Mohme, René Zubieta, etc? Habilitados para el circo.",Twitter Web App,188,,,,FALSE,FALSE,567,122,,,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1588331354877476866,2022-11-04T00:44:39Z,VLADIMIR_CERRON,"Se puede entender que lo hayan sorprendido la primera vez con el topo Mariano Gonzales, pero no hay justificación para que Pedro Castillo nombre como viceministro de Defensa al fraudista Andrés Salas Jaén ¿un golpista en un sector estratégico?, que después no se haga la víctima.",Twitter Web App,140,,,,FALSE,TRUE,0,47,,,,,,,,,,,,,,1197500322924642304,AlexFloresPL,es,,,,,,,,,,,,,,,,1588292403034656768,"Se puede entender que lo hayan sorprendido la primera vez con el topo Mariano Gonzales, pero no hay justificación para que Pedro Castillo nombre como viceministro de Defensa al fraudista Andrés Salas Jaén ¿un golpista en un sector estratégico?, que después no se haga la víctima.",2022-11-03T22:09:52Z,Twitter for iPhone,143,1197500322924642304,AlexFloresPL,Alex Flores,5997,182,243,"",Congresista de la República 2021-2026/ bancada @PeruLibre,FALSE,,,,,,,|,|,|||||||
521651938,1588331322585407488,2022-11-04T00:44:31Z,VLADIMIR_CERRON,@Politica_LR Mohmemontesinismo no denuncia el complot aprista contra Castillo.,Twitter Web App,65,1588237902101721090,829750511624679424,Politica_LR,FALSE,FALSE,50,9,,,,,,,,,,,,,,829750511624679424,Politica_LR,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1588329257092120581,2022-11-04T00:36:19Z,VLADIMIR_CERRON,"En la Guerra de 4ta Generación, se le ""invita"" a la gente a no pensar, evitar ese ejercicio molestoso, prefiriendo consumir sin pensar. Así se gana la conciencia de los sin conciencia. https://t.co/XtUb5K6iGf",Twitter Web App,184,,,,TRUE,FALSE,50,11,,,twitter.com/grancomboclub/…,https://t.co/XtUb5K6iGf,https://twitter.com/grancomboclub/status/1588303884514373632,,,,,,,,,,,es,1588303884514373632,"Esta bola era tan inverosímil que parecía un experimento para medir lo que la gente es capaz de creer.
Y es está demostrado. Ganaron. Los medios ya pueden decir cualquier disparate y mucha gente que se precia de ser pensante se la cree.
https://t.co/irQ4mhmMh6",2022-11-03T22:55:29Z,Twitter for Android,53,22,45227685,grancomboclub,Gran Combo Club,9272,931,34237,"","Votamos por cambios, queremos cambios.",FALSE,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1588279700153315328,2022-11-03T21:19:23Z,VLADIMIR_CERRON,@Noktambuleante @PoliciaPeru @PedroCastilloTe En la misma fiscalia de los periodistas chupamedias de Expreso que inventaron los seudochats.,Twitter for Android,93,1588187551742930945,69100137,Noktambuleante,FALSE,FALSE,2,0,,,,,,,,,,,,,,69100137|213769482|1357969682683334657,Noktambuleante|PoliciaPeru|PedroCastilloTe,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1588270238642372608,2022-11-03T20:41:48Z,VLADIMIR_CERRON,Necesaria reorganización total en EsSalud. Estamos de acuerdo. https://t.co/zHcpvz2rt1,Twitter for Android,62,,,,FALSE,FALSE,105,28,,,,,,http://pbs.twimg.com/media/FgqrW2nWIAMOdvY.jpg,https://t.co/zHcpvz2rt1,https://twitter.com/VLADIMIR_CERRON/status/1588270238642372608/photo/1,photo,http://pbs.twimg.com/media/FgqrW2nWIAMOdvY.jpg,https://t.co/zHcpvz2rt1,https://twitter.com/VLADIMIR_CERRON/status/1588270238642372608/photo/1,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1588267789453824000,2022-11-03T20:32:04Z,VLADIMIR_CERRON,"Al Presidente en EsSalud le realizaron una emboscada, ningún paciente, ni familiar, pudo haber tenido la iniciativa, conozco la psicología de ellos. El Apra le preparó la camita y usted sigue con los Del Castillo, ahí van los costos. ¡Cambie!",Twitter Web App,242,,,,FALSE,FALSE,275,70,,,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1588266721806356485,2022-11-03T20:27:49Z,VLADIMIR_CERRON,"@grancomboclub Es falso que Perú Libre tenga ese número de prefecturas, ni siquiera en su región Junín y capital Huancayo, lo tiene. Pueden ser oportunistas que se inscribieron al partido a rio revuelto. Personalmente estoy de acuerdo a que desaparezca esa estructura paquidérmica del Estado.",Twitter Web App,277,1588263601705734144,45227685,grancomboclub,FALSE,FALSE,27,7,,,,,,,,,,,,,,45227685,grancomboclub,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1588265243599245313,2022-11-03T20:21:57Z,VLADIMIR_CERRON,"@exitosape No Presidente, EsSalud lo sigue manejando el enemigo histórico del magisterio, el Apra.",Twitter Web App,87,1588237782216048641,2205328350,exitosape,FALSE,FALSE,75,17,,,,,,,,,,,,,,2205328350,exitosape,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
